tanggal,nama_target_id,nama_target,jumlah_target,nabung_harian,jumlah_terkumpul,progres,sisa_target,status_id,status
06/01/2022,1,Laptop Gaming ASUS ROG,28000000,50000,11550000,0.41,0.59,0,BELUM TERPENUHI
06/02/2022,1,Laptop Gaming ASUS ROG,28000000,50000,11600000,0.41,0.59,0,BELUM TERPENUHI
06/03/2022,1,Laptop Gaming ASUS ROG,28000000,50000,11650000,0.42,0.58,0,BELUM TERPENUHI
06/04/2022,1,Laptop Gaming ASUS ROG,28000000,200000,11850000,0.42,0.58,0,BELUM TERPENUHI
06/05/2022,1,Laptop Gaming ASUS ROG,28000000,50000,11900000,0.42,0.58,0,BELUM TERPENUHI
06/06/2022,1,Laptop Gaming ASUS ROG,28000000,300000,12200000,0.44,0.56,0,BELUM TERPENUHI
06/07/2022,1,Laptop Gaming ASUS ROG,28000000,500000,12700000,0.45,0.55,0,BELUM TERPENUHI
06/08/2022,1,Laptop Gaming ASUS ROG,28000000,50000,12750000,0.46,0.54,0,BELUM TERPENUHI
06/09/2022,1,Laptop Gaming ASUS ROG,28000000,200000,12950000,0.46,0.54,0,BELUM TERPENUHI
06/10/2022,1,Laptop Gaming ASUS ROG,28000000,200000,13150000,0.47,0.53,0,BELUM TERPENUHI
06/11/2022,1,Laptop Gaming ASUS ROG,28000000,50000,13200000,0.47,0.53,0,BELUM TERPENUHI
06/12/2022,1,Laptop Gaming ASUS ROG,28000000,500000,13700000,0.49,0.51,0,BELUM TERPENUHI
06/13/2022,1,Laptop Gaming ASUS ROG,28000000,50000,13750000,0.49,0.51,0,BELUM TERPENUHI
06/14/2022,1,Laptop Gaming ASUS ROG,28000000,200000,13950000,0.5,0.5,0,BELUM TERPENUHI
06/15/2022,1,Laptop Gaming ASUS ROG,28000000,100000,14050000,0.5,0.5,0,BELUM TERPENUHI
06/16/2022,1,Laptop Gaming ASUS ROG,28000000,300000,14350000,0.51,0.49,0,BELUM TERPENUHI
06/17/2022,1,Laptop Gaming ASUS ROG,28000000,200000,14550000,0.52,0.48,0,BELUM TERPENUHI
06/18/2022,1,Laptop Gaming ASUS ROG,28000000,50000,14600000,0.52,0.48,0,BELUM TERPENUHI
06/19/2022,1,Laptop Gaming ASUS ROG,28000000,300000,14900000,0.53,0.47,0,BELUM TERPENUHI
06/20/2022,1,Laptop Gaming ASUS ROG,28000000,50000,14950000,0.53,0.47,0,BELUM TERPENUHI
06/21/2022,1,Laptop Gaming ASUS ROG,28000000,50000,15000000,0.54,0.46,0,BELUM TERPENUHI
06/22/2022,1,Laptop Gaming ASUS ROG,28000000,100000,15100000,0.54,0.46,0,BELUM TERPENUHI
06/23/2022,1,Laptop Gaming ASUS ROG,28000000,300000,15400000,0.55,0.45,0,BELUM TERPENUHI
06/24/2022,1,Laptop Gaming ASUS ROG,28000000,300000,15700000,0.56,0.44,0,BELUM TERPENUHI
06/25/2022,1,Laptop Gaming ASUS ROG,28000000,100000,15800000,0.56,0.44,0,BELUM TERPENUHI
06/26/2022,1,Laptop Gaming ASUS ROG,28000000,200000,16000000,0.57,0.43,0,BELUM TERPENUHI
06/27/2022,1,Laptop Gaming ASUS ROG,28000000,50000,16050000,0.57,0.43,0,BELUM TERPENUHI
06/28/2022,1,Laptop Gaming ASUS ROG,28000000,500000,16550000,0.59,0.41,0,BELUM TERPENUHI
06/29/2022,1,Laptop Gaming ASUS ROG,28000000,50000,16600000,0.59,0.41,0,BELUM TERPENUHI
06/30/2022,1,Laptop Gaming ASUS ROG,28000000,50000,16650000,0.59,0.41,0,BELUM TERPENUHI
07/01/2022,1,Laptop Gaming ASUS ROG,28000000,200000,16850000,0.6,0.4,0,BELUM TERPENUHI
07/02/2022,1,Laptop Gaming ASUS ROG,28000000,50000,16900000,0.6,0.4,0,BELUM TERPENUHI
07/03/2022,1,Laptop Gaming ASUS ROG,28000000,100000,17000000,0.61,0.39,0,BELUM TERPENUHI
07/04/2022,1,Laptop Gaming ASUS ROG,28000000,100000,17100000,0.61,0.39,0,BELUM TERPENUHI
07/05/2022,1,Laptop Gaming ASUS ROG,28000000,300000,17400000,0.62,0.38,0,BELUM TERPENUHI
07/06/2022,1,Laptop Gaming ASUS ROG,28000000,500000,17900000,0.64,0.36,0,BELUM TERPENUHI
07/07/2022,1,Laptop Gaming ASUS ROG,28000000,50000,17950000,0.64,0.36,0,BELUM TERPENUHI
07/08/2022,1,Laptop Gaming ASUS ROG,28000000,50000,18000000,0.64,0.36,0,BELUM TERPENUHI
07/09/2022,1,Laptop Gaming ASUS ROG,28000000,200000,18200000,0.65,0.35,0,BELUM TERPENUHI
07/10/2022,1,Laptop Gaming ASUS ROG,28000000,100000,18300000,0.65,0.35,0,BELUM TERPENUHI
07/11/2022,1,Laptop Gaming ASUS ROG,28000000,500000,18800000,0.67,0.33,0,BELUM TERPENUHI
07/12/2022,1,Laptop Gaming ASUS ROG,28000000,300000,19100000,0.68,0.32,0,BELUM TERPENUHI
07/13/2022,1,Laptop Gaming ASUS ROG,28000000,100000,19200000,0.69,0.31,0,BELUM TERPENUHI
07/14/2022,1,Laptop Gaming ASUS ROG,28000000,300000,19500000,0.7,0.3,0,BELUM TERPENUHI
07/15/2022,1,Laptop Gaming ASUS ROG,28000000,200000,19700000,0.7,0.3,0,BELUM TERPENUHI
07/16/2022,1,Laptop Gaming ASUS ROG,28000000,200000,19900000,0.71,0.29,0,BELUM TERPENUHI
07/17/2022,1,Laptop Gaming ASUS ROG,28000000,50000,19950000,0.71,0.29,0,BELUM TERPENUHI
07/18/2022,1,Laptop Gaming ASUS ROG,28000000,500000,20450000,0.73,0.27,0,BELUM TERPENUHI
07/19/2022,1,Laptop Gaming ASUS ROG,28000000,300000,20750000,0.74,0.26,0,BELUM TERPENUHI
07/20/2022,1,Laptop Gaming ASUS ROG,28000000,100000,20850000,0.74,0.26,0,BELUM TERPENUHI
07/21/2022,1,Laptop Gaming ASUS ROG,28000000,200000,21050000,0.75,0.25,0,BELUM TERPENUHI
07/22/2022,1,Laptop Gaming ASUS ROG,28000000,50000,21100000,0.75,0.25,0,BELUM TERPENUHI
07/23/2022,1,Laptop Gaming ASUS ROG,28000000,50000,21150000,0.76,0.24,0,BELUM TERPENUHI
07/24/2022,1,Laptop Gaming ASUS ROG,28000000,300000,21450000,0.77,0.23,0,BELUM TERPENUHI
07/25/2022,1,Laptop Gaming ASUS ROG,28000000,200000,21650000,0.77,0.23,0,BELUM TERPENUHI
07/26/2022,1,Laptop Gaming ASUS ROG,28000000,500000,22150000,0.79,0.21,0,BELUM TERPENUHI
07/27/2022,1,Laptop Gaming ASUS ROG,28000000,200000,22350000,0.8,0.2,0,BELUM TERPENUHI
07/28/2022,1,Laptop Gaming ASUS ROG,28000000,300000,22650000,0.81,0.19,0,BELUM TERPENUHI
07/29/2022,1,Laptop Gaming ASUS ROG,28000000,300000,22950000,0.82,0.18,0,BELUM TERPENUHI
07/30/2022,1,Laptop Gaming ASUS ROG,28000000,200000,23150000,0.83,0.17,0,BELUM TERPENUHI
07/31/2022,1,Laptop Gaming ASUS ROG,28000000,300000,23450000,0.84,0.16,0,BELUM TERPENUHI
08/01/2022,1,Laptop Gaming ASUS ROG,28000000,200000,23650000,0.84,0.16,0,BELUM TERPENUHI
08/02/2022,1,Laptop Gaming ASUS ROG,28000000,100000,23750000,0.85,0.15,0,BELUM TERPENUHI
08/03/2022,1,Laptop Gaming ASUS ROG,28000000,200000,23950000,0.86,0.14,0,BELUM TERPENUHI
08/04/2022,1,Laptop Gaming ASUS ROG,28000000,200000,24150000,0.86,0.14,0,BELUM TERPENUHI
08/05/2022,1,Laptop Gaming ASUS ROG,28000000,300000,24450000,0.87,0.13,0,BELUM TERPENUHI
08/06/2022,1,Laptop Gaming ASUS ROG,28000000,300000,24750000,0.88,0.12,0,BELUM TERPENUHI
08/07/2022,1,Laptop Gaming ASUS ROG,28000000,50000,24800000,0.89,0.11,0,BELUM TERPENUHI
08/08/2022,1,Laptop Gaming ASUS ROG,28000000,50000,24850000,0.89,0.11,0,BELUM TERPENUHI
08/09/2022,1,Laptop Gaming ASUS ROG,28000000,100000,24950000,0.89,0.11,0,BELUM TERPENUHI
08/10/2022,1,Laptop Gaming ASUS ROG,28000000,50000,25000000,0.89,0.11,0,BELUM TERPENUHI
08/11/2022,1,Laptop Gaming ASUS ROG,28000000,200000,25200000,0.9,0.1,0,BELUM TERPENUHI
08/12/2022,1,Laptop Gaming ASUS ROG,28000000,300000,25500000,0.91,0.09,0,BELUM TERPENUHI
08/13/2022,1,Laptop Gaming ASUS ROG,28000000,50000,25550000,0.91,0.09,0,BELUM TERPENUHI
08/14/2022,1,Laptop Gaming ASUS ROG,28000000,50000,25600000,0.91,0.09,0,BELUM TERPENUHI
08/15/2022,1,Laptop Gaming ASUS ROG,28000000,100000,25700000,0.92,0.08,0,BELUM TERPENUHI
08/16/2022,1,Laptop Gaming ASUS ROG,28000000,100000,25800000,0.92,0.08,0,BELUM TERPENUHI
08/17/2022,1,Laptop Gaming ASUS ROG,28000000,200000,26000000,0.93,0.07,0,BELUM TERPENUHI
08/18/2022,1,Laptop Gaming ASUS ROG,28000000,300000,26300000,0.94,0.06,0,BELUM TERPENUHI
08/19/2022,1,Laptop Gaming ASUS ROG,28000000,100000,26400000,0.94,0.06,0,BELUM TERPENUHI
08/20/2022,1,Laptop Gaming ASUS ROG,28000000,50000,26450000,0.94,0.06,0,BELUM TERPENUHI
08/21/2022,1,Laptop Gaming ASUS ROG,28000000,300000,26750000,0.96,0.04,0,BELUM TERPENUHI
08/22/2022,1,Laptop Gaming ASUS ROG,28000000,300000,27050000,0.97,0.03,0,BELUM TERPENUHI
08/23/2022,1,Laptop Gaming ASUS ROG,28000000,50000,27100000,0.97,0.03,0,BELUM TERPENUHI
08/24/2022,1,Laptop Gaming ASUS ROG,28000000,100000,27200000,0.97,0.03,0,BELUM TERPENUHI
08/25/2022,1,Laptop Gaming ASUS ROG,28000000,50000,27250000,0.97,0.03,0,BELUM TERPENUHI
08/26/2022,1,Laptop Gaming ASUS ROG,28000000,300000,27550000,0.98,0.02,0,BELUM TERPENUHI
08/27/2022,1,Laptop Gaming ASUS ROG,28000000,500000,28050000,1.0,0.0,1,TERPENUHI ✅
08/28/2022,2,Macbook Pro M3,35000000,500000,500000,0.01,0.99,0,BELUM TERPENUHI
08/29/2022,2,Macbook Pro M3,35000000,200000,700000,0.02,0.98,0,BELUM TERPENUHI
08/30/2022,2,Macbook Pro M3,35000000,50000,750000,0.02,0.98,0,BELUM TERPENUHI
08/31/2022,2,Macbook Pro M3,35000000,50000,800000,0.02,0.98,0,BELUM TERPENUHI
09/01/2022,2,Macbook Pro M3,35000000,200000,1000000,0.03,0.97,0,BELUM TERPENUHI
09/02/2022,2,Macbook Pro M3,35000000,200000,1200000,0.03,0.97,0,BELUM TERPENUHI
